dimension,bucket,model,total,transcription_correct,transcription_accuracy,solve_correct,solve_accuracy,transcribed_value_correct,transcribed_value_accuracy,average_transcribe_latency_seconds,average_solve_latency_seconds,average_total_latency_seconds
contains_number,1,qwen2_vl_2b,195,44,0.2256,21,0.1077,50,0.2564,0.3586,0.1696,0.5282
contains_number,1,smolvlm2_2b,195,31,0.1590,15,0.0769,33,0.1692,0.9529,0.7922,1.7451
contains_number,1,smolvlm_500m,195,18,0.0923,19,0.0974,23,0.1179,0.7699,0.6247,1.3946
contains_number,2,qwen2_vl_2b,201,76,0.3781,35,0.1741,79,0.3930,0.3579,0.1780,0.5359
contains_number,2,smolvlm2_2b,201,76,0.3781,12,0.0597,76,0.3781,0.9647,0.7935,1.7582
contains_number,2,smolvlm_500m,201,46,0.2289,8,0.0398,50,0.2488,0.7596,0.6296,1.3892
contains_number,3,qwen2_vl_2b,200,87,0.4350,42,0.2100,88,0.4400,0.3868,0.1813,0.5680
contains_number,3,smolvlm2_2b,200,90,0.4500,18,0.0900,90,0.4500,0.9260,0.7960,1.7220
contains_number,3,smolvlm_500m,200,61,0.3050,6,0.0300,61,0.3050,0.7533,0.6385,1.3918
contains_number,4,qwen2_vl_2b,219,81,0.3699,26,0.1187,84,0.3836,0.3691,0.1728,0.5419
contains_number,4,smolvlm2_2b,219,73,0.3333,5,0.0228,74,0.3379,0.9553,0.7984,1.7538
contains_number,4,smolvlm_500m,219,33,0.1507,9,0.0411,33,0.1507,0.7381,0.6380,1.3761
contains_number,5,qwen2_vl_2b,198,79,0.3990,37,0.1869,80,0.4040,0.3552,0.1752,0.5304
contains_number,5,smolvlm2_2b,198,86,0.4343,13,0.0657,86,0.4343,0.9241,0.7971,1.7212
contains_number,5,smolvlm_500m,198,48,0.2424,10,0.0505,49,0.2475,0.7437,0.6236,1.3673
contains_number,6,qwen2_vl_2b,199,56,0.2814,30,0.1508,60,0.3015,0.3722,0.1819,0.5541
contains_number,6,smolvlm2_2b,199,52,0.2613,8,0.0402,53,0.2663,0.9547,0.7943,1.7490
contains_number,6,smolvlm_500m,199,43,0.2161,7,0.0352,46,0.2312,0.7573,0.6371,1.3944
contains_number,7,qwen2_vl_2b,196,62,0.3163,20,0.1020,65,0.3316,0.3774,0.1789,0.5562
contains_number,7,smolvlm2_2b,196,62,0.3163,5,0.0255,63,0.3214,0.9545,0.7941,1.7487
contains_number,7,smolvlm_500m,196,36,0.1837,5,0.0255,37,0.1888,0.7571,0.6338,1.3909
contains_number,8,qwen2_vl_2b,189,76,0.4021,29,0.1534,77,0.4074,0.3696,0.1819,0.5515
contains_number,8,smolvlm2_2b,189,83,0.4392,8,0.0423,83,0.4392,0.9335,0.7972,1.7307
contains_number,8,smolvlm_500m,189,51,0.2698,2,0.0106,51,0.2698,0.7335,0.6310,1.3645
contains_number,9,qwen2_vl_2b,206,60,0.2913,20,0.0971,63,0.3058,0.3567,0.1764,0.5331
contains_number,9,smolvlm2_2b,206,62,0.3010,5,0.0243,62,0.3010,0.9331,0.7874,1.7205
contains_number,9,smolvlm_500m,206,38,0.1845,9,0.0437,40,0.1942,0.7482,0.6308,1.3790
