dimension,bucket,model,total,transcription_correct,transcription_accuracy,solve_correct,solve_accuracy,transcribed_value_correct,transcribed_value_accuracy,average_transcribe_latency_seconds,average_solve_latency_seconds,average_total_latency_seconds
noise_presence,blur:absent,qwen2_vl_2b,384,131,0.3411,48,0.1250,135,0.3516,0.3510,0.1767,0.5277
noise_presence,blur:absent,smolvlm2_2b,384,135,0.3516,25,0.0651,138,0.3594,0.9372,0.7933,1.7305
noise_presence,blur:absent,smolvlm_500m,384,81,0.2109,14,0.0365,83,0.2161,0.7494,0.6262,1.3756
noise_presence,blur:present,qwen2_vl_2b,416,153,0.3678,80,0.1923,159,0.3822,0.3663,0.1769,0.5432
noise_presence,blur:present,smolvlm2_2b,416,151,0.3630,20,0.0481,151,0.3630,0.9339,0.7946,1.7286
noise_presence,blur:present,smolvlm_500m,416,92,0.2212,21,0.0505,96,0.2308,0.7343,0.6284,1.3627
noise_presence,gaussian_noise:absent,qwen2_vl_2b,235,87,0.3702,44,0.1872,91,0.3872,0.3561,0.1749,0.5310
noise_presence,gaussian_noise:absent,smolvlm2_2b,235,84,0.3574,10,0.0426,84,0.3574,0.9405,0.7883,1.7288
noise_presence,gaussian_noise:absent,smolvlm_500m,235,50,0.2128,9,0.0383,51,0.2170,0.7715,0.6689,1.4404
noise_presence,gaussian_noise:present,qwen2_vl_2b,565,197,0.3487,84,0.1487,203,0.3593,0.3601,0.1776,0.5377
noise_presence,gaussian_noise:present,smolvlm2_2b,565,202,0.3575,35,0.0619,205,0.3628,0.9334,0.7964,1.7298
noise_presence,gaussian_noise:present,smolvlm_500m,565,123,0.2177,26,0.0460,128,0.2265,0.7291,0.6101,1.3392
noise_presence,line_noise:present,qwen2_vl_2b,800,284,0.3550,128,0.1600,294,0.3675,0.3589,0.1768,0.5357
noise_presence,line_noise:present,smolvlm2_2b,800,286,0.3575,45,0.0563,289,0.3613,0.9355,0.7940,1.7295
noise_presence,line_noise:present,smolvlm_500m,800,173,0.2162,35,0.0437,179,0.2238,0.7416,0.6274,1.3689
noise_presence,salt_pepper_noise:absent,qwen2_vl_2b,389,145,0.3728,76,0.1954,151,0.3882,0.3517,0.1773,0.5291
noise_presence,salt_pepper_noise:absent,smolvlm2_2b,389,137,0.3522,18,0.0463,138,0.3548,0.9411,0.7889,1.7300
noise_presence,salt_pepper_noise:absent,smolvlm_500m,389,81,0.2082,12,0.0308,82,0.2108,0.7557,0.6431,1.3988
noise_presence,salt_pepper_noise:present,qwen2_vl_2b,411,139,0.3382,52,0.1265,143,0.3479,0.3658,0.1763,0.5421
noise_presence,salt_pepper_noise:present,smolvlm2_2b,411,149,0.3625,27,0.0657,151,0.3674,0.9302,0.7988,1.7291
noise_presence,salt_pepper_noise:present,smolvlm_500m,411,92,0.2238,23,0.0560,97,0.2360,0.7281,0.6125,1.3406
noise_presence,warp_amplitude:present,qwen2_vl_2b,800,284,0.3550,128,0.1600,294,0.3675,0.3589,0.1768,0.5357
noise_presence,warp_amplitude:present,smolvlm2_2b,800,286,0.3575,45,0.0563,289,0.3613,0.9355,0.7940,1.7295
noise_presence,warp_amplitude:present,smolvlm_500m,800,173,0.2162,35,0.0437,179,0.2238,0.7416,0.6274,1.3689
noise_presence,warp_frequency:present,qwen2_vl_2b,800,284,0.3550,128,0.1600,294,0.3675,0.3589,0.1768,0.5357
noise_presence,warp_frequency:present,smolvlm2_2b,800,286,0.3575,45,0.0563,289,0.3613,0.9355,0.7940,1.7295
noise_presence,warp_frequency:present,smolvlm_500m,800,173,0.2162,35,0.0437,179,0.2238,0.7416,0.6274,1.3689
