dimension,bucket,model,total,transcription_correct,transcription_accuracy,solve_correct,solve_accuracy,transcribed_value_correct,transcribed_value_accuracy,average_transcribe_latency_seconds,average_solve_latency_seconds,average_total_latency_seconds
noise_strength,blur:high,qwen2_vl_2b,78,2,0.0256,2,0.0256,3,0.0385,0.3587,0.1714,0.5301
noise_strength,blur:high,smolvlm2_2b,78,7,0.0897,2,0.0256,7,0.0897,0.9538,0.7853,1.7391
noise_strength,blur:high,smolvlm_500m,78,1,0.0128,4,0.0513,2,0.0256,0.7680,0.6099,1.3779
noise_strength,blur:low,qwen2_vl_2b,130,104,0.8000,58,0.4462,104,0.8000,0.3491,0.1845,0.5336
noise_strength,blur:low,smolvlm2_2b,130,97,0.7462,8,0.0615,97,0.7462,0.9130,0.8016,1.7147
noise_strength,blur:low,smolvlm_500m,130,69,0.5308,9,0.0692,69,0.5308,0.6878,0.6400,1.3278
noise_strength,blur:medium,qwen2_vl_2b,208,47,0.2260,20,0.0962,52,0.2500,0.3799,0.1743,0.5541
noise_strength,blur:medium,smolvlm2_2b,208,47,0.2260,10,0.0481,47,0.2260,0.9396,0.7938,1.7333
noise_strength,blur:medium,smolvlm_500m,208,22,0.1058,8,0.0385,25,0.1202,0.7508,0.6281,1.3789
noise_strength,blur:none,qwen2_vl_2b,384,131,0.3411,48,0.1250,135,0.3516,0.3510,0.1767,0.5277
noise_strength,blur:none,smolvlm2_2b,384,135,0.3516,25,0.0651,138,0.3594,0.9372,0.7933,1.7305
noise_strength,blur:none,smolvlm_500m,384,81,0.2109,14,0.0365,83,0.2161,0.7494,0.6262,1.3756
noise_strength,gaussian_noise:high,qwen2_vl_2b,206,8,0.0388,6,0.0291,9,0.0437,0.3462,0.1677,0.5138
noise_strength,gaussian_noise:high,smolvlm2_2b,206,17,0.0825,6,0.0291,17,0.0825,0.9586,0.7892,1.7478
noise_strength,gaussian_noise:high,smolvlm_500m,206,8,0.0388,9,0.0437,10,0.0485,0.7722,0.6090,1.3813
noise_strength,gaussian_noise:low,qwen2_vl_2b,134,114,0.8507,47,0.3507,114,0.8507,0.3562,0.1922,0.5484
noise_strength,gaussian_noise:low,smolvlm2_2b,134,110,0.8209,19,0.1418,110,0.8209,0.9130,0.8016,1.7146
noise_strength,gaussian_noise:low,smolvlm_500m,134,80,0.5970,12,0.0896,80,0.5970,0.6890,0.6216,1.3105
noise_strength,gaussian_noise:medium,qwen2_vl_2b,225,75,0.3333,31,0.1378,80,0.3556,0.3752,0.1780,0.5532
noise_strength,gaussian_noise:medium,smolvlm2_2b,225,75,0.3333,10,0.0444,78,0.3467,0.9226,0.7999,1.7224
noise_strength,gaussian_noise:medium,smolvlm_500m,225,35,0.1556,5,0.0222,38,0.1689,0.7134,0.6042,1.3177
noise_strength,gaussian_noise:none,qwen2_vl_2b,235,87,0.3702,44,0.1872,91,0.3872,0.3561,0.1749,0.5310
noise_strength,gaussian_noise:none,smolvlm2_2b,235,84,0.3574,10,0.0426,84,0.3574,0.9405,0.7883,1.7288
noise_strength,gaussian_noise:none,smolvlm_500m,235,50,0.2128,9,0.0383,51,0.2170,0.7715,0.6689,1.4404
noise_strength,line_noise:high,qwen2_vl_2b,44,1,0.0227,3,0.0682,1,0.0227,0.3395,0.1649,0.5044
noise_strength,line_noise:high,smolvlm2_2b,44,2,0.0455,1,0.0227,2,0.0455,0.9786,0.7862,1.7648
noise_strength,line_noise:high,smolvlm_500m,44,1,0.0227,1,0.0227,2,0.0455,0.8021,0.6396,1.4417
noise_strength,line_noise:low,qwen2_vl_2b,295,228,0.7729,98,0.3322,229,0.7763,0.3657,0.1890,0.5547
noise_strength,line_noise:low,smolvlm2_2b,295,209,0.7085,26,0.0881,210,0.7119,0.9114,0.7977,1.7092
noise_strength,line_noise:low,smolvlm_500m,295,150,0.5085,18,0.0610,150,0.5085,0.7007,0.6365,1.3372
noise_strength,line_noise:medium,qwen2_vl_2b,461,55,0.1193,27,0.0586,64,0.1388,0.3565,0.1702,0.5266
noise_strength,line_noise:medium,smolvlm2_2b,461,75,0.1627,18,0.0390,77,0.1670,0.9468,0.7924,1.7392
noise_strength,line_noise:medium,smolvlm_500m,461,22,0.0477,16,0.0347,27,0.0586,0.7619,0.6203,1.3823
noise_strength,salt_pepper_noise:high,qwen2_vl_2b,74,1,0.0135,3,0.0405,2,0.0270,0.3625,0.1658,0.5283
noise_strength,salt_pepper_noise:high,smolvlm2_2b,74,3,0.0405,1,0.0135,3,0.0405,0.9853,0.7902,1.7755
noise_strength,salt_pepper_noise:high,smolvlm_500m,74,0,0.0000,3,0.0405,1,0.0135,0.7623,0.6037,1.3660
noise_strength,salt_pepper_noise:low,qwen2_vl_2b,59,53,0.8983,21,0.3559,53,0.8983,0.3326,0.1915,0.5240
noise_strength,salt_pepper_noise:low,smolvlm2_2b,59,56,0.9492,7,0.1186,56,0.9492,0.9082,0.8033,1.7116
