dimension,bucket,model,total,transcription_correct,transcription_accuracy,solve_correct,solve_accuracy,transcribed_value_correct,transcribed_value_accuracy,average_transcribe_latency_seconds,average_solve_latency_seconds,average_total_latency_seconds
operator_pattern,*,qwen2_vl_2b,138,45,0.3261,23,0.1667,46,0.3333,0.3118,0.1758,0.4876
operator_pattern,*,smolvlm2_2b,138,57,0.4130,14,0.1014,57,0.4130,0.8872,0.7980,1.6852
operator_pattern,*,smolvlm_500m,138,36,0.2609,13,0.0942,37,0.2681,0.6827,0.6076,1.2903
operator_pattern,**,qwen2_vl_2b,45,9,0.2000,3,0.0667,9,0.2000,0.3407,0.1870,0.5276
operator_pattern,**,smolvlm2_2b,45,18,0.4000,3,0.0667,18,0.4000,0.9619,0.7932,1.7551
operator_pattern,**,smolvlm_500m,45,16,0.3556,1,0.0222,16,0.3556,0.7353,0.6377,1.3730
operator_pattern,*+,qwen2_vl_2b,59,20,0.3390,4,0.0678,20,0.3390,0.3825,0.1795,0.5620
operator_pattern,*+,smolvlm2_2b,59,18,0.3051,1,0.0169,18,0.3051,0.9582,0.7989,1.7571
operator_pattern,*+,smolvlm_500m,59,10,0.1695,0,0.0000,10,0.1695,0.7701,0.6635,1.4336
operator_pattern,*-,qwen2_vl_2b,37,10,0.2703,3,0.0811,10,0.2703,0.3926,0.1704,0.5630
operator_pattern,*-,smolvlm2_2b,37,11,0.2973,0,0.0000,11,0.2973,0.9645,0.8099,1.7743
operator_pattern,*-,smolvlm_500m,37,11,0.2973,1,0.0270,12,0.3243,0.7613,0.6588,1.4201
operator_pattern,+,qwen2_vl_2b,136,62,0.4559,40,0.2941,62,0.4559,0.3136,0.1739,0.4876
operator_pattern,+,smolvlm2_2b,136,49,0.3603,8,0.0588,49,0.3603,0.8999,0.7910,1.6909
operator_pattern,+,smolvlm_500m,136,20,0.1471,1,0.0074,20,0.1471,0.7396,0.6032,1.3429
operator_pattern,+*,qwen2_vl_2b,44,9,0.2045,1,0.0227,10,0.2273,0.4224,0.1742,0.5966
operator_pattern,+*,smolvlm2_2b,44,11,0.2500,0,0.0000,11,0.2500,1.0394,0.7964,1.8358
operator_pattern,+*,smolvlm_500m,44,2,0.0455,0,0.0000,2,0.0455,0.7779,0.6485,1.4264
operator_pattern,++,qwen2_vl_2b,47,20,0.4255,12,0.2553,21,0.4468,0.4288,0.1846,0.6133
operator_pattern,++,smolvlm2_2b,47,17,0.3617,2,0.0426,17,0.3617,1.0123,0.7955,1.8078
operator_pattern,++,smolvlm_500m,47,3,0.0638,1,0.0213,3,0.0638,0.8862,0.6408,1.5271
operator_pattern,+-,qwen2_vl_2b,43,8,0.1860,1,0.0233,11,0.2558,0.4101,0.1799,0.5900
operator_pattern,+-,smolvlm2_2b,43,9,0.2093,8,0.1860,10,0.2326,1.0198,0.7856,1.8054
operator_pattern,+-,smolvlm_500m,43,3,0.0698,1,0.0233,3,0.0698,0.7978,0.6429,1.4407
operator_pattern,-,qwen2_vl_2b,133,62,0.4662,35,0.2632,63,0.4737,0.3007,0.1731,0.4738
operator_pattern,-,smolvlm2_2b,133,69,0.5188,5,0.0376,70,0.5263,0.8737,0.7889,1.6626
operator_pattern,-,smolvlm_500m,133,50,0.3759,8,0.0602,50,0.3759,0.6644,0.5982,1.2625
operator_pattern,-*,qwen2_vl_2b,36,11,0.3056,1,0.0278,14,0.3889,0.4241,0.1885,0.6127
operator_pattern,-*,smolvlm2_2b,36,7,0.1944,0,0.0000,8,0.2222,0.9809,0.7948,1.7757
operator_pattern,-*,smolvlm_500m,36,9,0.2500,1,0.0278,13,0.3611,0.7884,0.6585,1.4470
operator_pattern,-+,qwen2_vl_2b,47,17,0.3617,1,0.0213,17,0.3617,0.4300,0.1706,0.6005
operator_pattern,-+,smolvlm2_2b,47,10,0.2128,4,0.0851,10,0.2128,0.9734,0.7910,1.7645
operator_pattern,-+,smolvlm_500m,47,4,0.0851,4,0.0851,4,0.0851,0.8037,0.6859,1.4895
operator_pattern,--,qwen2_vl_2b,35,11,0.3143,4,0.1143,11,0.3143,0.4917,0.1808,0.6725
operator_pattern,--,smolvlm2_2b,35,10,0.2857,0,0.0000,10,0.2857,0.9620,0.7939,1.7559
operator_pattern,--,smolvlm_500m,35,9,0.2571,4,0.1143,9,0.2571,0.7729,0.6275,1.4004
